ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
TK-240009,2025-01-02 09:12,2025-01-02 11:13,2025-01-07 05:58,resolved,email,C109397,VR885139,VA-NB-ARC,Delivery & Shipping,Low,Logistics,A3028,0,2,,,N,"Hi there, Got my Arc from vireo.in last week.  The box says my Arc but what's inside is not what I paid for. I rechecked my order. Nothing changed. What do I do now? Regards,",customer states incorrect product shipped. verified order vs delivered item photos. rplc dispatched. case closed with cx consent.,legacy_fd
TK-240010,2025-01-02 16:14,2025-01-02 17:32,2025-01-02 12:17,closed,voice,C102901,,VA-HP-ST3,Billing & Payments,Normal,Billing,A3033,0,0,,,N,the page failed after I paid & now nothing shows in my account,done ~Diya,legacy_fd
TK-240011,2025-01-02 19:18,2025-01-02 19:20,2025-01-02 14:30,resolved,chat,C101672,,VA-EB-PL1,Connectivity,Normal,Chat Frontline,A3007,0,0,,,N,"helo
cannot pair pulse 1 with my laptop
pulse 1","Contact re unable to pair w/ phone. Asked cx to reset the device. Reset done, paired ok. (SOP 4.2)",legacy_fd
TK-240012,2025-01-02 19:53,2025-01-02 20:08,2025-01-02 15:13,resolved,chat,C108928,VR883762,VA-SW-NX1,Other,Normal,Chat Frontline,A3008,1,0,,,N,"PRODUCT: THE NXA SMARTWATCH
ORDER: VR883762
PURCHASED: 21-11-2024
ISSUE: CANNOT PAIR THE NEXA SMARTWATCH W/ MY LAPTOP
TRIED: FORGOT THE DEVICE & TRIED AGAIN
EXPECTED: REPLACEMENT","reset done, paired ok. issue: device not discoverable. asked cx to reset the device.",legacy_fd
TK-240013,2025-01-02 20:23,2025-01-02 20:24,2025-01-02 20:57,resolved,chat,C109161,,VA-SW-NX1,Connectivity,Normal,Chat Frontline,A3010,0,,,,N,"helo
bluetooth pairing fails every time
nexa watch",see prev,helpdesk
TK-240013,2025-01-02 20:23,2025-01-02 20:24,2025-01-02 15:27,resolved,chat,C109161,,VA-SW-NX1,Connectivity,Normal,Chat Frontline,A3010,0,0,,,N,"helo
bluetooth pairing fails every time
nexa watch",see prev,legacy_fd
TK-240014,2025-01-02 21:36,2025-01-02 22:48,,open,social,C100732,VR901926,VA-SW-FIT,Delivery & Shipping,Normal,Logistics,A3037,1,3,,,N,"hello ji
tracking has said out for delivery for a week now
a month ago se
my nexa fit band VR901926
help","1. Shipment not rcvd
2. Raised ticket w/ courier partner
3. Transferred to Returns Desk
4. Refund initiated as lost in transit",helpdesk
TK-240014,2025-01-02 21:36,2025-01-02 22:48,,open,social,C100732,VR901926,VA-SW-FIT,Delivery & Shipping,Normal,Logistics,A3037,1,3,,,N,"hello ji
tracking has said out for delivery for a week now
a month ago se
my nexa fit band VR901926
help","1. Shipment not rcvd
2. Raised ticket w/ courier partner
3. Transferred to Returns Desk
4. Refund initiated as lost in transit",legacy_fd
TK-240016,2025-01-02 21:39,2025-01-02 22:11,2025-01-02 16:54,resolved,social,C106416,VR898023,VA-EB-PL1,Other,High,Chat Frontline,A3016,0,5,,,N,"really frustrating.  got the pulse buds from vireo.in recently. need to change delivery address. i already tried editing in app. i want a replacement or refund, nothing else.",already dispatched [closed],legacy_fd
TK-240017,2025-01-02 22:12,2025-01-03 10:22,2025-01-03 05:11,resolved,email,C107383,,VA-EB-PL1,Connectivity,Normal,Email Frontline,A3018,0,0,,,N,"hi
cannot pair my pules with my laptop","Reported: unable to pair w/ phone. Asked cx to reset the device. Reset done, paired ok. (SOP 2.7)",legacy_fd
TK-240018,2025-01-03 05:58,2025-01-03 10:14,2025-01-04 05:03,closed,social,C109161,,VA-SW-NX1,Returns & Refunds,Normal,Returns Desk,A3038,0,0,4499,RETURN-QC-OK,N,"the return was accepted but the amount is nowhre in my account
please call me on my registered number",cx: refund not credited | checked refund status on pg -> refund of rs 4499 initiated to source,legacy_fd
TK-240020,2025-01-03 07:07,2025-01-03 07:13,2025-01-03 02:11,resolved,chat,C101585,,VA-SW-NX1,Connectivity,Normal,Chat Frontline,A3011,0,4,,,N,"hii
the pairing light blinks but nothing ever shows up on my nothing phone",done,legacy_fd
TK-240021,2025-01-03 09:06,2025-01-03 15:59,2025-01-03 10:37,resolved,email,C101502,VR906508,VA-HP-ST3,Other,Normal,Email Frontline,A3019,0,0,,,N,"Namaste,
Order VR906508 (Strata 3). Need to change delivery address.
I tried editing in app.
Please call me on my registered number.
Thank you","address update | updated address with courier -> already dispatched, advised to redirect with courier ~Kavya",legacy_fd
TK-240023,2025-01-03 10:01,2025-01-03 10:01,2025-01-03 10:11,closed,chat,C104851,VR887990,VA-SP-ORB,Product Enquiry,Low,Chat Frontline,A3011,0,3,,,N,honsetly regretting this purchase. tis is regardding my orbit. before i buy - will this talk to a 2019 samsung. escalate this to someone senior.,as discussed,helpdesk
TK-240023,2025-01-03 10:01,2025-01-03 10:01,2025-01-03 04:41,closed,chat,C104851,VR887990,VA-SP-ORB,Product Enquiry,Low,Chat Frontline,A3011,0,3,,,N,honsetly regretting this purchase. tis is regardding my orbit. before i buy - will this talk to a 2019 samsung. escalate this to someone senior.,as discussed,legacy_fd
TK-240025,2025-01-03 10:22,2025-01-03 10:25,2025-01-03 05:17,resolved,chat,C108035,VR891190,VA-EB-PL1,Audio Quality,Normal,Chat Frontline,A3004,0,2,,,N,"hi there, i bought my pulse on october 27.  left side has no audio at all. i checked balance settings. what do i do now? thanks, bhavna malhotra",cx: right side silent | chk balance settings w/ cx -> esc to warranty [closed],legacy_fd
TK-240026,2025-01-03 11:17,2025-01-03 11:35,2025-01-03 06:27,resolved,chat,C107222,VR881030,VA-EB-PL1,App & Firmware,Normal,Chat Frontline,A3004,0,4,,,N,"To the Vireo Customer Care Team,

I am writing with reference to my order of my Pulse placed on 26 Nov. The app closes itself the moment I tap on my device. I have updated phone. I REQUEST YOU TO LOOK INTO THIS MATTER AT THE EARLIEST.

REGARDS,
ANJALI ANSARI","contact re app not opening. known issue on ios 18 - bug logged. bug logged, workaround shared. [closed]",legacy_fd
TK-240028,2025-01-03 12:34,2025-01-03 14:03,2025-01-03 14:12,resolved,voice,C100546,VR904448,VA-NB-ARC,Billing & Payments,Normal,Billing,A3033,0,4,,,N,"[IVR transcript] Pathetic experience honestly.  the neckband purchased recently, order VR904448. invoice not downloading. I already checked orders page. Fix this or I am posting on twitter.",sorted ~Diya,helpdesk
TK-240028,2025-01-03 12:34,2025-01-03 14:03,2025-01-03 08:42,resolved,voice,C100546,VR904448,VA-NB-ARC,Billing & Payments,Normal,Billing,A3033,0,4,,,N,"[IVR transcript] Pathetic experience honestly.  the neckband purchased recently, order VR904448. invoice not downloading. I already checked orders page. Fix this or I am posting on twitter.",sorted ~Diya,legacy_fd
TK-240029,2025-01-03 12:59,2025-01-03 13:22,2025-01-03 08:09,resolved,voice,C107996,VR895637,VA-SP-ORB,Other,Normal,Voice Frontline,A3023,0,0,,,N,Not acceptable at this price.  Got Orbit speaker from Amazon recently. auddio keeps disconnecting every few minutes. I already reset both devices. Fix this or I am posting on twitter.,FW update resolved. Issue: intermittent disconnects. chk interference sources. ~Farah,legacy_fd
TK-240030,2025-01-03 13:05,2025-01-03 19:29,2025-01-03 20:03,resolved,email,C101008,,VA-AC-CBL,Billing & Payments,High,Billing,A3033,0,,379,RETURN-QC-OK,N,"bhai
refund not received yet
usb-c cable
urgent",as discussed ~Diya,helpdesk
TK-240030,2025-01-03 13:05,2025-01-03 19:29,2025-01-03 14:33,resolved,email,C101008,,VA-AC-CBL,Billing & Payments,High,Billing,A3033,0,0,379,RETURN-QC-OK,N,"bhai
refund not received yet
usb-c cable
urgent",as discussed ~Diya,legacy_fd
TK-240032,2025-01-03 19:26,2025-01-04 15:39,2025-01-12 11:19,resolved,email,C104046,,VA-SW-NX1,Warranty & Repair,Normal,Escalations & Warranty,A3040,0,0,4999,WTY-BUYBACK,N,touch screen not responding,"refund approved, rs 4999, 5-7 working days. issue: touch not responding. walked through hard reset.",legacy_fd
TK-240033,2025-01-03 20:29,2025-01-04 07:36,2025-01-05 03:19,resolved,email,C104599,VR909925,VA-SW-FIT,Warranty & Repair,Normal,Escalations & Warranty,A3041,0,3,,,Y,"Dear Sir/Madam,

I am writing with reference to my order of Nexa Fit placed on 23/12. Screen is unresponsive. I HAVE RESTARTED. I request you to kindly arrange a replacement.

Sincerely,
Ayaan Pereira
Dehraadun","1. Touch not responding
2. Walked through hard reset
3. New unit shipped under DOA",legacy_fd
TK-240034,2025-01-04 06:24,2025-01-04 06:25,2025-01-04 01:13,resolved,chat,C100652,VR886797,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3030,0,3,,,N,"Hi, I bought my Pulse on 26 Dec. My order has not been delivered yet. I want my money back.",Cust contacted re shipment not received. Raised ticket with courier partner. Re-shipped from warehouse.,legacy_fd
TK-240036,2025-01-04 09:04,2025-01-04 09:32,2025-01-09 04:32,resolved,voice,C103625,VR881687,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3028,0,3,,,N,package not deliveered even affter 9 days - vr881687 - i want my money back,"cx states shipment not received. raised ticket with crr partner. crr confirmed dlvry for 08 jan, cx informed. closing.",legacy_fd
TK-240037,2025-01-04 11:33,2025-01-04 11:35,,open,chat,C105265,VR892312,VA-EB-PL1,Delivery & Shipping,High,Logistics,A3028,0,3,,,N,"Hi, Order VR892312 (the Pulse buds).  Package not delivered even after 17 days. I checked the tracking page daily. Nothing changed. What do I do now? Regards,","ticket raised for order not delivered. checked awb w/ crr. crr confirmed delivery for 06 jan, cx informed. follow-up not required.",legacy_fd
TK-240038,2025-01-04 15:07,2025-01-04 15:10,2025-01-04 09:58,resolved,chat,C102169,VR894491,VA-SW-FIT,Delivery & Shipping,Normal,Logistics,A3031,0,0,,,N,"paid on 31-12-2024, still waiting for something to show up - VR894491","1. Order not delivered
2. chk AWB w/ courier
3. rfnd initiated as lost in transit",legacy_fd
TK-240039,2025-01-04 15:35,2025-01-04 16:12,2025-01-05 11:58,resolved,voice,C102739,VR889856,VA-SW-NX1,Warranty & Repair,Normal,Escalations & Warranty,A3040,0,0,,,N,the little metal pin fell out and now it won't stay on my wrist - VR889856,escaalated to warranty. issue: strap damage. asked for photo.,legacy_fd
TK-240040,2025-01-04 16:03,2025-01-04 18:56,2025-01-04 14:01,closed,email,C104318,VR907537,VA-EB-AIR,App & Firmware,Normal,Email Frontline,A3019,0,5,,,N,the app closes itself the moment I tap on my device - VR907537,"cust contacted re app crashing. asked for phone model + os. cleared cache, resolved. ~Kavya",legacy_fd
TK-240042,2025-01-04 16:33,2025-01-04 17:12,2025-01-05 11:57,resolved,social,C104390,VR908827,VA-EB-PL1,Returns & Refunds,Normal,Returns Desk,A3037,0,0,2124,RETURN-QC-OK,N,"Hello, This is regarding my Pulse. Where is the money for the return. I emailed twice. Nothing changed. Please call me on my registered number. Please revert, Yash Joshi",re: refund pending | checked reverse pkp qc status -> full refund processed (2124),legacy_fd
TK-240043,2025-01-04 18:09,2025-01-04 18:14,2025-01-04 13:11,resolved,chat,C108593,VR891665,VA-HP-ST2,Returns & Refunds,Normal,Returns Desk,A3037,0,0,4249,RETURN-QC-OK,N,"hi team,
i bought my strata 2 headphones on december 06.  packed the box a week ago & it's still here.
please advise.
regards, varun kapoor","1. Pickup not done
2. Checked pickup AWB
3. Refund of Rs 4249 initiated to source",legacy_fd
TK-240044,2025-01-04 20:52,2025-01-05 05:21,2025-01-05 00:24,resolved,email,C106800,,VA-EB-AIR,Audio Quality,Low,Email Frontline,A3003,0,0,,,N,"i bought airlite earbuds on 12 sep. mic not working on calls.
i checked mic permissions. nothing changed.
please advise.
rgds, farah siddiqui",Reported: mic not working on calls. Tested on call with cx. FW update advised. Case closed with cx consent. //ROH,legacy_fd
TK-240045,2025-01-04 21:58,2025-01-04 22:36,2025-01-04 22:58,resolved,chat,C104495,VR883431,VA-EB-AIR,Billing & Payments,High,Billing,A3035,0,,,,N,"hello vireo,
i bought airlite on december 29.  invoice not downloading.
i checked orders page. nohing changed.
i want my money back.
regards diya d'souza",cx: gst invoice request | regenerated invoice -> gst invoice regenerated and shared,helpdesk
TK-240045,2025-01-04 21:58,2025-01-04 22:36,2025-01-04 17:28,resolved,chat,C104495,VR883431,VA-EB-AIR,Billing & Payments,High,Billing,A3035,0,0,,,N,"hello vireo,
i bought airlite on december 29.  invoice not downloading.
i checked orders page. nohing changed.
i want my money back.
regards diya d'souza",cx: gst invoice request | regenerated invoice -> gst invoice regenerated and shared,legacy_fd
TK-240046,2025-01-05 07:24,2025-01-05 07:24,2025-01-05 07:58,resolved,chat,C109397,VR885139,VA-NB-ARC,Charging & Battery,Normal,Chat Frontline,A3011,0,4,260,WTY-BUYBACK,N,"Hi there, I bought the neckband on December 30. The promised 40 hours is nowhere close, I get maybe 2. I updated the app. Need this sorted this week. Regards, Rajat","refund approved, Rs 260, 5-7 working days",helpdesk
TK-240046,2025-01-05 07:24,2025-01-05 07:24,2025-01-05 02:28,resolved,chat,C109397,VR885139,VA-NB-ARC,Charging & Battery,Normal,Chat Frontline,A3011,0,4,260,WTY-BUYBACK,N,"Hi there, I bought the neckband on December 30. The promised 40 hours is nowhere close, I get maybe 2. I updated the app. Need this sorted this week. Regards, Rajat","refund approved, Rs 260, 5-7 working days",legacy_fd
TK-240047,2025-01-05 08:12,2025-01-05 08:14,2025-01-05 03:01,resolved,chat,C108104,,VA-SW-FIT,Other,Normal,Chat Frontline,A3011,0,5,,,N,can I connect two Nexa Fit together. how do i get this fixed?,as discussed,legacy_fd
TK-240048,2025-01-05 10:02,2025-01-05 11:06,2025-01-05 11:19,resolved,voice,C107918,VR892164,VA-EB-PL1,Account & Login,Normal,Voice Frontline,A3023,0,,,,N,[IVR transcript] locked out of my own account since recently VR892164 what do i do now?,"Number updated, rslvd. Issue: unable to log in. Checked number on account. (SOP 5.4) ~Farah",helpdesk
TK-240048,2025-01-05 10:02,2025-01-05 11:06,2025-01-05 05:49,resolved,voice,C107918,VR892164,VA-EB-PL1,Account & Login,Normal,Voice Frontline,A3023,0,0,,,N,[IVR transcript] locked out of my own account since recently VR892164 what do i do now?,"Number updated, rslvd. Issue: unable to log in. Checked number on account. (SOP 5.4) ~Farah",legacy_fd
TK-240049,2025-01-05 11:57,2025-01-05 12:01,2025-01-07 06:52,resolved,chat,C109499,,VA-EB-PL1,Delivery & Shipping,Low,Logistics,A3028,0,0,,,N,"PACKAGE NOT DELIVERED EVEN AFTER 11 DAYS
I WANT A REPLACEMENT",contact re ord not delivered. confirmed address with cx. re-shipped from warehouse. closing.,legacy_fd
TK-240050,2025-01-05 11:59,2025-01-05 12:49,,open,voice,C103850,,VA-HP-ST3,Warranty & Repair,Normal,Escalations & Warranty,A3043,0,3,5599,DOA-REPL,N,Really frustrating.  Ordered the strata 3 3 weeks back. warranty claim pending for 5 days. I already emailed twice. Fix this or I am posting on twitter.,re: repair status follow-up | followed up w/ service centre -> full rfnd processed (5599),helpdesk
TK-240050,2025-01-05 11:59,2025-01-05 12:49,,open,voice,C103850,,VA-HP-ST3,Warranty & Repair,Normal,Escalations & Warranty,A3043,0,3,5599,DOA-REPL,N,Really frustrating.  Ordered the strata 3 3 weeks back. warranty claim pending for 5 days. I already emailed twice. Fix this or I am posting on twitter.,re: repair status follow-up | followed up w/ service centre -> full rfnd processed (5599),legacy_fd
TK-240052,2025-01-05 12:18,2025-01-05 12:34,2025-01-05 07:34,resolved,chat,C105244,,VA-NB-ARC,Connectivity,Low,Chat Frontline,A3004,0,0,,,N,cannot pair the neckband with my laptop.  pls call me on my registered number,"cx reached out - pairing failure. chk phone os version. reset done, paired ok. [closed]",legacy_fd
TK-240053,2025-01-05 14:09,2025-01-05 14:21,2025-01-10 09:13,resolved,chat,C100712,,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3031,0,3,,,Y,"Dear Sir/Madam,

I am writing with reference to my order of the Pulse buds placed on December 25.  Product arrived damaged. I have refused nothing as I didn't notice till later. I REQUEST U TO KINDLY ARRANGE A REPLACEMENT.

SINCERELY,
POOOJA BHATT
RANCHI",done,legacy_fd
TK-240054,2025-01-05 14:22,2025-01-05 14:26,2025-01-05 09:10,resolved,chat,C108878,VR900402,VA-HP-ST2,Product Enquiry,Low,Chat Frontline,A3007,0,0,,,N,"hello,
order vr900402 (my strata 2 headphones). is my strata 2 headphones compatible with my tv.
please call me on my registered number.
please revert, mohammed",issue: compatibility query | shared spec sheet -> query answered,legacy_fd
TK-240055,2025-01-05 16:14,2025-01-05 17:52,2025-01-07 12:38,resolved,email,C106846,,VA-AC-CH65,Returns & Refunds,Normal,Returns Desk,A3028,1,3,,,N,"Dear Sir/Madam, Bought your charger around December 31 from vireo.in. Refund was promised 12 days ago and nothing. I emailed twice. Nothing changed. How do I get this fixed? Thanks Vikram",refund confirmed credited. issue: refund not credited. checked reverse pkp qc status. via logistics.,legacy_fd
TK-240056,2025-01-05 17:07,2025-01-05 17:14,2025-01-05 17:36,resolved,voice,C106420,VR898112,VA-EB-PL1,Billing & Payments,Normal,Billing,A3033,0,4,225,PRICE-ADJ,N,[IVR transcript] Honestly regretting thhis purchase. Ordered pulse 1 3 weeks back. promo code shows invalid. I already tried in caps. ESCALATE THIS TO SOMEONE SENIOR.,closed ~Diya,helpdesk
TK-240056,2025-01-05 17:07,2025-01-05 17:14,2025-01-05 12:06,resolved,voice,C106420,VR898112,VA-EB-PL1,Billing & Payments,Normal,Billing,A3033,0,4,225,PRICE-ADJ,N,[IVR transcript] Honestly regretting thhis purchase. Ordered pulse 1 3 weeks back. promo code shows invalid. I already tried in caps. ESCALATE THIS TO SOMEONE SENIOR.,closed ~Diya,legacy_fd
TK-240057,2025-01-06 05:59,2025-01-06 06:09,,open,chat,C100976,VR903232,VA-HP-ST3,Billing & Payments,High,Billing,A3035,0,2,,,N,"to the vireo customer care team,

i am writing with reference to my order of my strata 3 headphones (vr903232) placed on december 27. need the bill with my firm's gstin on it. i have checked orders page. i requset you to process a refund to my original payment method.

sincerely,
om chauhan
indore",re: invoice not downloading | regenerated invoice -> invoice emailed,legacy_fd
TK-240059,2025-01-06 09:24,2025-01-06 14:10,2025-01-06 09:07,resolved,email,C101564,VR900446,VA-NB-ARC,Audio Quality,Normal,Email Frontline,A3028,1,0,,,Y,"namaste, order vr900446 (arc neckband).  i hear music in one ear only, other is mute. please advise. rgds,",cx reached out - single side audio only. walked through reset. xfer to logistics. escalated to warranty. cx satisfied on chat.,legacy_fd
TK-240061,2025-01-06 09:28,2025-01-06 09:30,2025-01-09 04:29,resolved,chat,C107591,,VA-SW-FIT,Delivery & Shipping,High,Logistics,A3008,1,4,,,Y,i ordered the fit band and got something else - please call me on my registered number,"rplc raised, rma shared w/ cx. issue: wrong item delivered. verified order vs delivered item photos. via chat frontline.",legacy_fd
TK-240062,2025-01-06 11:09,2025-01-06 11:15,2025-01-06 05:59,resolved,chat,C100498,VR892279,VA-EB-PL1,Other,Normal,Chat Frontline,A3011,0,3,,,N,"sir ji
not receiving otp to login
anyone there",account unlocked,legacy_fd
TK-240064,2025-01-06 13:27,2025-01-06 15:01,2025-01-06 09:39,resolved,social,C104888,VR888910,VA-HP-ST3,Product Enquiry,Normal,Chat Frontline,A3015,0,5,,,N,"wiill this survive a shower, VR888910","1. pre-sales query
2. shared compatibility info
3. query answered",legacy_fd
TK-240065,2025-01-06 13:38,2025-01-06 13:53,2025-01-07 08:35,resolved,chat,C106846,,VA-AC-CH65,Delivery & Shipping,High,Logistics,A3028,0,1,,,N,"hi
i haven't received my order","reported: order not delivered. checked awb with crr. crr confirmed delivery for 12 jan, cx informed. closing.",legacy_fd
TK-240067,2025-01-06 16:12,2025-01-06 16:20,2025-01-06 16:39,resolved,chat,C102331,VR895621,VA-HP-ST3,Delivery & Shipping,Normal,Logistics,A3029,0,,,,N,"Dear team,
Order VR895621 (the strata 3). TRACKING HAS SAID OUT FOR DELIVERY FOR A WEEK NOW.
HOW DO I GET THIS FIXED?
AWAITING RESPONSE, RIYA GHOSH","cx states dlvry delayed. chk awb w/ crr. rto conf, reshipped. cx satisfied on chat. [closed]",helpdesk
TK-240067,2025-01-06 16:12,2025-01-06 16:20,2025-01-06 11:09,resolved,chat,C102331,VR895621,VA-HP-ST3,Delivery & Shipping,Normal,Logistics,A3029,0,0,,,N,"Dear team,
Order VR895621 (the strata 3). TRACKING HAS SAID OUT FOR DELIVERY FOR A WEEK NOW.
HOW DO I GET THIS FIXED?
AWAITING RESPONSE, RIYA GHOSH","cx states dlvry delayed. chk awb w/ crr. rto conf, reshipped. cx satisfied on chat. [closed]",legacy_fd
TK-240068,2025-01-06 16:34,2025-01-06 18:40,,open,social,C103566,,VA-SW-FIT,Warranty & Repair,Low,Escalations & Warranty,A3038,1,3,,,Y,"Product: the fit band
Purchased: 10 Dec
Issue: watch strap broke within a month
Tried: tried to fix pin
Expected: refund",Cust contacted re strap damage. Asked for photo. Transferred to Returns Desk. New unit shipped under DOA.,legacy_fd
TK-240069,2025-01-06 22:50,2025-01-06 23:37,2025-01-06 23:45,resolved,social,C105299,VR880965,VA-EB-AIR,Product Enquiry,Low,Chat Frontline,A3001,0,5,,,N,"Hello,
Order VR880965 (AirLite).  My dad has an old Nokia, wll the watch app run.
Please call me on my registered number.
Reagrds Varun George",cx: product enquiry | shared spec sheet -> cx satisfied -SK,helpdesk
TK-240069,2025-01-06 22:50,2025-01-06 23:37,2025-01-06 18:15,resolved,social,C105299,VR880965,VA-EB-AIR,Product Enquiry,Low,Chat Frontline,A3001,0,5,,,N,"Hello,
Order VR880965 (AirLite).  My dad has an old Nokia, wll the watch app run.
Please call me on my registered number.
Reagrds Varun George",cx: product enquiry | shared spec sheet -> cx satisfied -SK,legacy_fd
TK-240071,2025-01-07 02:48,2025-01-07 03:17,2025-01-09 04:55,closed,email,C107165,VR899198,VA-EB-AIR,App & Firmware,Normal,Email Frontline,A3041,1,,,,Y,"Namaste,
This is regarding airlite earbuds. I have to charge it twice a day now, it used to last days.
I fully charged & discharged twice.
Kindly look into it.
Awaiting response Rahul Iyer","1. Poor battery backup
2. Checked usage pattern with cx
3. Transferred to Escalations & Warranty
4. Replacement raised, RMA shared with cx",helpdesk
TK-240071,2025-01-07 02:48,2025-01-07 03:17,2025-01-08 23:25,closed,email,C107165,VR899198,VA-EB-AIR,App & Firmware,Normal,Email Frontline,A3041,1,0,,,Y,"Namaste,
This is regarding airlite earbuds. I have to charge it twice a day now, it used to last days.
I fully charged & discharged twice.
Kindly look into it.
Awaiting response Rahul Iyer","1. Poor battery backup
2. Checked usage pattern with cx
3. Transferred to Escalations & Warranty
4. Replacement raised, RMA shared with cx",legacy_fd
TK-240073,2025-01-07 04:10,2025-01-07 04:12,2025-01-07 04:39,resolved,chat,C106912,VR884110,VA-HP-ST2,Audio Quality,Normal,Chat Frontline,A3002,0,,,,Y,I have been a loyal customer and this is how you treat me. Order VR884110 (Strata 2). right earbud completely silent. I already reset the buds. Fix this or I am posting on twitter.,cust contacted re no audio one side. walked through reset. escalated to warranty.,helpdesk
TK-240073,2025-01-07 04:10,2025-01-07 04:12,2025-01-06 23:09,resolved,chat,C106912,VR884110,VA-HP-ST2,Audio Quality,Normal,Chat Frontline,A3002,0,0,,,Y,I have been a loyal customer and this is how you treat me. Order VR884110 (Strata 2). right earbud completely silent. I already reset the buds. Fix this or I am posting on twitter.,cust contacted re no audio one side. walked through reset. escalated to warranty.,legacy_fd
TK-240074,2025-01-07 10:44,2025-01-07 10:45,2025-01-11 07:34,closed,chat,C107689,,VA-SP-ORB,Other,High,Chat Frontline,A3040,1,0,,,N,Very poor quality.  I bought my Orbit on 05 Sep. no power on the my Orbit. I ALREADY HELD POWER BUTTON 30 SEC. Escalate this to someone senior.,repalcement raised. issue: no power. asked cx to try different adaptor. via escalations & warranty.,legacy_fd
